Fecha,Inventario Inicial,Decesos,Descartes,Compras,Faltas,Nacimientos
2014-01,1000,5,2,13,0,105
2014-02,1033,5,1,18,0,108
2014-03,1095,8,2,15,0,114
2014-04,1125,13,0,10,0,117
2014-05,1117,10,0,17,1,116
2014-06,1047,7,0,16,0,110
2014-07,1088,5,0,19,1,117
2014-08,1116,8,0,12,1,118
2014-09,1128,13,0,10,2,119
2014-10,1015,7,0,14,1,108
2014-11,1188,13,1,13,2,125
2014-12,1191,11,2,19,1,125
2015-01,1190,8,0,17,1,127
2015-02,1068,7,1,10,1,115
2015-03,1021,14,1,19,2,107
2015-04,1092,9,2,10,2,117
2015-05,1194,9,0,13,0,126
2015-06,1075,7,2,17,2,115
2015-07,1153,13,0,14,2,124
2015-08,1143,8,1,11,2,119
2015-09,1178,9,1,15,2,122
2015-10,1085,8,1,14,0,117
2015-11,1184,9,1,11,2,127
2015-12,1028,11,2,12,1,109
2016-01,1068,13,0,18,1,111
2016-02,1046,11,0,16,2,112
2016-03,1093,9,2,16,2,115
2016-04,1189,14,0,15,1,124
2016-05,1196,14,1,17,1,128
2016-06,1143,11,0,13,0,121
2016-07,1175,14,1,17,1,123
2016-08,1084,9,2,13,1,113
2016-09,1038,7,0,17,2,112
2016-10,1099,11,2,18,1,117
2016-11,1032,6,0,12,0,112
2016-12,1100,13,1,12,1,118
2017-01,1022,14,2,11,2,111
2017-02,1009,14,0,19,2,109
2017-03,1068,5,1,12,1,115
2017-04,1099,10,2,12,2,117
2017-05,1033,11,2,14,0,111
2017-06,1179,12,0,14,0,126
2017-07,1137,14,0,11,1,119
2017-08,1146,13,0,19,1,121
2017-09,1185,6,1,15,1,125
2017-10,1095,14,0,14,2,116
2017-11,1000,6,2,15,0,108
2017-12,1068,9,2,10,0,114
2018-01,1003,9,0,14,2,106
2018-02,1015,10,0,18,0,108
2018-03,1023,7,2,19,1,109
2018-04,1079,12,1,11,1,116
2018-05,1001,5,0,10,1,108
2018-06,1127,10,0,19,0,119
2018-07,1159,8,2,18,1,121
2018-08,1083,5,0,19,2,114
2018-09,1151,11,1,18,2,122
2018-10,1139,13,2,18,0,121
2018-11,1177,8,0,15,2,123
2018-12,1162,8,2,17,2,125
2019-01,1123,10,0,10,0,118
2019-02,1032,7,0,19,1,108
2019-03,1160,10,0,13,1,121
2019-04,1188,11,1,10,1,126
2019-05,1178,14,1,17,0,124
2019-06,1170,14,2,10,2,125
2019-07,1100,7,0,12,1,118
2019-08,1011,11,0,13,1,109
2019-09,1066,7,1,17,0,114
2019-10,1064,6,0,15,1,115
2019-11,1160,14,1,19,0,125
2019-12,1167,8,0,16,2,122
2020-01,1073,12,2,17,0,112
2020-02,1042,13,0,11,0,112
2020-03,1043,11,0,19,0,110
2020-04,1028,5,1,17,0,107
2020-05,1140,7,0,12,2,121
2020-06,1011,13,0,16,2,110
2020-07,1094,5,1,12,1,114
2020-08,1045,13,2,16,2,111
2020-09,1129,12,2,11,2,117
2020-10,1034,5,1,19,1,112
2020-11,1080,10,1,15,2,117
2020-12,1089,9,1,12,0,114
2021-01,1007,10,1,12,0,108
2021-02,1092,14,1,18,1,114
2021-03,1153,9,2,16,1,120
2021-04,1089,10,2,14,1,115
2021-05,1161,9,1,19,0,125
2021-06,1114,9,0,16,2,116
2021-07,1104,8,1,18,0,119
2021-08,1134,7,0,10,1,118
2021-09,1195,7,1,16,2,125
2021-10,1057,8,1,15,2,113
2021-11,1113,13,2,19,0,116
2021-12,1074,6,0,18,1,116
2022-01,1156,13,0,10,0,121
2022-02,1119,5,2,13,2,116
2022-03,1163,5,2,18,0,123
2022-04,1020,9,2,13,0,110
2022-05,1163,10,2,19,1,121
2022-06,1137,10,0,12,1,119
2022-07,1100,7,0,18,2,117
2022-08,1151,11,1,11,0,121
2022-09,1191,13,1,13,0,125
2022-10,1176,14,2,15,0,124
2022-11,1098,12,2,11,2,115
2022-12,1035,10,2,17,2,110
2023-01,1095,12,1,17,1,114
2023-02,1151,9,1,10,1,122
2023-03,1150,12,1,12,1,122
2023-04,1189,14,1,19,0,126
2023-05,1036,8,1,18,0,110
2023-06,1011,14,1,14,1,108
2023-07,1112,12,1,15,0,116
2023-08,1182,14,2,13,1,126
2023-09,1012,6,2,19,2,110
2023-10,1022,9,2,11,1,107
2023-11,1098,13,2,17,2,114
2023-12,1104,8,1,15,0,119
